"VAR","Variable","COU","Country","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","JPN","Japan","2016","2016","PC","Percentage","0","Units",,,78.3,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","KOR","Korea","1990","1990","PC","Percentage","0","Units",,,32.900001525879,"E","Estimated value"
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","KOR","Korea","2000","2000","PC","Percentage","0","Units",,,70.5,"E","Estimated value"
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","KOR","Korea","2005","2005","PC","Percentage","0","Units",,,83.5,"E","Estimated value"
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","KOR","Korea","2010","2010","PC","Percentage","0","Units",,,90.099998474121,"E","Estimated value"
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","KOR","Korea","2011","2011","PC","Percentage","0","Units",,,90.900001525879,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","KOR","Korea","2012","2012","PC","Percentage","0","Units",,,91.599998474121,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","KOR","Korea","2013","2013","PC","Percentage","0","Units",,,92.11,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","KOR","Korea","2014","2014","PC","Percentage","0","Units",,,92.54,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","KOR","Korea","2015","2015","PC","Percentage","0","Units",,,92.89,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","KOR","Korea","2016","2016","PC","Percentage","0","Units",,,93.22,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","LUX","Luxembourg","1990","1990","PC","Percentage","0","Units",,,90.400001525879,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","LUX","Luxembourg","2000","2000","PC","Percentage","0","Units",,,99.9,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","LUX","Luxembourg","2005","2005","PC","Percentage","0","Units",,,99.9,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","LUX","Luxembourg","2010","2010","PC","Percentage","0","Units",,,98.7,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","LUX","Luxembourg","2011","2011","PC","Percentage","0","Units",,,100,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","LUX","Luxembourg","2012","2012","PC","Percentage","0","Units",,,100,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","LUX","Luxembourg","2013","2013","PC","Percentage","0","Units",,,100,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","LUX","Luxembourg","2014","2014","PC","Percentage","0","Units",,,98.5,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","LUX","Luxembourg","2015","2015","PC","Percentage","0","Units",,,98.5,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","LUX","Luxembourg","2016","2016","PC","Percentage","0","Units",,,98.5,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","LUX","Luxembourg","2017","2017","PC","Percentage","0","Units",,,100,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","MEX","Mexico","1990","1990","PC","Percentage","0","Units",,,50.1,,
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","MEX","Mexico","2000","2000","PC","Percentage","0","Units",,,59.2,"E","Estimated value"
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","MEX","Mexico","2005","2005","PC","Percentage","0","Units",,,67.6,"E","Estimated value"
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","MEX","Mexico","2010","2010","PC","Percentage","0","Units",,,70.57,"E","Estimated value"
"TOTPUBSEW","Total public sewerage (% of resident population connected to urban wastewater collecting system = PUBTOTTR + PUBNOTR)","NLD","Netherlands","1970","1970","PC","Percentage","0","Units",,,100,"E","Estimated value"
